"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-13","14.32",,"0.00","0.0","0.0","51","62","43","  180","  180","29.1","38.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-14","5.82",,"0.04","0.0","0.0","56","66","50","  360","  190","16.1","21.9",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-15","12.08",,"0.00","0.0","0.0","60","72","50","  350","  350","25.9","35.1",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-16","10.96",,"0.00","0.0","0.0","57","60","48","  120","  100","19.9","23.9",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-17","9.84",,"0.11","0.0","0.0","56","69","52","  200","  200","21.0","25.1","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-18","9.17",,"0.00","0.0","0.0","62","73","51","  190","  190","25.9","32.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-19","12.08",,"0.00","0.0","0.0","56","62","47","  120","  130","21.9","25.1",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-20","15.66",,"0.87","0.0","0.0","51","58","47","  100","  100","36.9","48.1","    1","    1","    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-21","12.08",,"0.06","0.0","0.0","58","67","50","  270","  270","23.9","30.0","    1",,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-22","13.87",,"0.19","0.0","0.0","55","63","46","  240","  240","36.0","47.0",,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-23","18.79",,"0.00","0.0","0.0","48","54","42","  270","  270","29.1","36.9",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-24","21.70",,"0.00","0.0","0.0","44","52","39","  350","  330","30.0","38.9",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-25","10.74",,"0.00","0.0","0.0","46","59","39","  180","  340","19.9","25.9",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-26","10.51",,"0.00","0.0","0.0","51","59","43","  190","  320","17.0","21.9",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-27","14.76",,"0.00","0.0","0.0","55","63","49","  330","  330","23.9","30.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-28","13.65",,"0.00","0.0","0.0","58","71","51","  340","  360","23.9","31.1",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-29","11.86",,"0.00","0.0","0.0","63","77","50","  310","  300","18.1","23.9",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-04-30","12.53",,"0.00","0.0","0.0","55","63","48","  100","  110","23.0","28.0",,,,,,,,
